home_id	num_of_sents_0.6	num_very_neg_0.6	num_neg_0.6	num_neut_0.6	num_pos_0.6	num_very_pos_0.6	num_sents
202174	10	0	2	1	6	1	127
215882	142	0	35	11	82	14	964
219532	45	1	13	6	23	2	237
749758	9	0	3	0	6	0	50
762029	125	0	38	7	71	9	979
788146	15	0	4	0	7	4	137
1029680	1	0	0	1	0	0	16
1133329	85	1	25	4	44	11	468
1171574	141	1	34	21	76	9	836
1351716	120	1	34	13	69	3	553
1455908	32	0	8	4	17	3	167
1494986	9	0	3	1	5	0	56
1556170	65	0	26	5	32	2	432
1594313	10	0	1	0	9	0	75
1715582	22	0	8	2	9	3	144
2071305	10	0	5	0	5	0	75
2298775	15	0	5	0	9	1	139
2303981	4	0	1	0	3	0	26
2486612	59	0	16	6	32	5	315
3061918	22	0	8	1	12	1	114
3115801	3	0	2	0	1	0	42
3155785	0	0	0	0	0	0	16
3258213	32	0	13	0	15	4	282
3263722	2	0	1	1	0	0	14
3404700	48	0	13	8	26	1	248
3613516	1	0	0	0	1	0	11
3773784	22	0	2	3	17	0	125
3812725	3	0	0	0	3	0	24
3821663	94	0	29	19	41	5	439
4016650	30	2	12	2	14	0	249
4038347	34	0	9	4	21	0	212
4257097	1	0	1	0	0	0	12
4270642	14	0	6	1	6	1	73
4565370	22	0	6	2	11	3	155
5195064	40	0	18	2	16	4	281
5325809	16	0	6	0	9	1	116
5364609	5	0	0	1	3	1	28
5559063	1	0	0	0	1	0	3
6004058	17	0	5	3	8	1	82
6103108	0	0	0	0	0	0	15
6133354	24	0	7	4	11	2	127
6166307	21	0	9	0	11	1	144
6278680	4	0	0	0	4	0	63
6349598	8	0	1	1	5	1	27
6403104	0	0	0	0	0	0	15
6423204	39	0	11	1	26	1	192
6436772	3	0	0	0	3	0	13
6438013	4	1	1	0	2	0	21
6562393	7	0	2	0	3	2	29
6629278	9	1	3	0	5	0	58
6765354	11	0	2	3	6	0	84
6776229	11	0	1	4	6	0	102
6780615	6	0	3	1	2	0	53
6783394	48	1	22	4	16	5	267
6793490	29	0	9	2	17	1	145
6795678	22	0	11	1	9	1	154
6888107	11	0	3	2	6	0	88
6913414	10	0	2	1	7	0	50
7182584	3	0	2	0	1	0	11
7226013	9	0	3	0	6	0	38
7245586	4	0	0	1	3	0	22
7247518	4	0	0	2	2	0	25
7256122	21	0	8	2	11	0	131
7401671	10	0	2	0	6	2	78
7459637	6	0	2	2	2	0	42
7459684	15	0	5	1	6	3	88
7638282	10	0	3	1	4	2	111
7809455	9	0	4	0	5	0	88
8150145	7	0	3	1	3	0	36
8253955	2	0	1	0	1	0	14
8340819	1	0	1	0	0	0	14
8409969	17	0	4	3	10	0	107
8409975	4	0	2	0	2	0	45
8501705	19	0	3	5	11	0	100
8902887	5	0	2	1	2	0	33
