	home_id	scores_cleanliness	scores_location	review_id	comments
15225	1549973	8.0	7.0	7026986	The apartment was clean, basic and sufficient.  Furniture is definitely cheap ikea stuff, except possibly the couch.  The queen bed seemed small for a queen bed, I think it was actually a double sized bed, since it was easy to make my feet go over the edge.  Pillows were similarly small and the sheets & blankets were similarly cheap. 
15226	1549973	8.0	7.0	15920668	A very helpful and nice host. The listing was everything it said it would be, and very close to the UW campus. Overall would recommend to anyone as a cheap alternative to a hotel.
15227	1549973	8.0	7.0	17891106	I live in Seattle, and rented this unit when I had friends in town. I'm familiar with the neighborhood so new what to expect. Everything was great and was exactly what we needed, mostly just a place to sleep, and spent our days enjoying the city.  The place was comfortable and clean, and there is a small selection of dishes, thought we ate out mostly. If you're planning on spending a lot of time cooking, I recommend bringing some cooking supplies, (and bottle opener/wine opener). Though everything served our purposes just fine. Melissa was very nice and I certainly have no complaints!
15228	1549973	8.0	7.0	18278830	We had no problems with our stay, check in was easy and smooth.  The apartment is very modest with limited amenities, but worked for us.
15229	1549973	8.0	7.0	18549317	"Upsides:
(i) great location (2 or 3 blocks away from UW. Approximately 5-min walk to University Way and 8-min walk to UW campus)
(ii) spacious (this is a big one-bed room with an over-sized living room)
(iii) blazing fast internet (I used it for a video-conference on WebEx and watching on-line streaming videos all the time) 
Downsides:
(i) loud noise (this is not a quiet building as advertised. Instead, the living room faces a main street where heavy traffic coming in from high way all day. Even worse, this unit is located less than 10 feet from the back of a hotel and the bedroom faces the laundry room and trash dumpsters of the hotel. As a result, the laundry machines send loud noise to the bedroom throughout day and night, and the garbage truck comes in around 7am every other day)  
(ii) parking fees (the host charges $8 for parking)
(iii) old complex (the wall is paper thin so you can hear someone talking or watching tv upstairs and next door)
The host seems to control many apartments in that neighborhood so you have many options. Avoid this property unless you can fall asleep no matter what.    
"
15230	1549973	8.0	7.0	18823835	"The good: Melissa is a wonderful person and was incredibly kind to us. We foolishly locked ourselves out the first day and Melissa was kind enough to let us back in without taking a ton of time. Also she brought us extra towels and made sure the place was set up for us. Really, I can't praise Melissa enough for being so nice.

Also the apartment was exceptionally clean, like just had cleaners do a deep clean type clean.

Also it's relatively inexpensive, close to bus lines into downtown and near some decent college restaurants. 

The less good: The pictures are not representative of this space. It really is a bare-bones College style apartment. Old building. Dingy common space. The bedroom was also really noisy from the nearby laundry room and back alley used by trucks. This was all fine with us because we were just sleeping there and the price is/was right."
15231	1549973	8.0	7.0	22559257	I arrived early and was able to leave my luggage in a different room, which I appreciated. Somewhat less nice was the difference between the space I ended up getting and the original I had rented. Ms Yao had unfortunately scheduled some renovations for the day of my arrival and I ended up with a different apartment which was less well furnished than the one advertised. However she was very accommodating and I was perfectly content with the apartment I ended up getting.
15317	6250399	6.0	4.0	44034411	The apartment itself was totally fine - about what we expected, based on the photos and description. The space was a great size for 2 people and it was nice to have the kitchenette as an option while visiting Seattle. Melissa was a very easy host to work with - she allowed us to check in early and was very responsive when we had questions throughout our stay. The one major issue with the apartment that we were not expecting was just outside - when we walked in on the first day, we peeked out the kitchen window into an alley (fine) that was apparently a hot spot for drug use (not fine). Throughout our entire stay, every time we looked out the window people were in the alley partaking in some very hardcore using. It was very unsettling to know that was so close to us and while no one ever bothered us in the neighborhood, it was a major concern. Again, the apartment itself was great and exactly what we were looking for, but my fiance and I agreed the alley view was something that needed to be mentioned.
15496	7071021	8.0	7.0	37719965	"The host was very welcoming and efficient. I got stuck in the city without a hotel room and she connected me quickly after I sent her the request for the room and even help me with getting my luggage to the room. I felt that she was responsive and attended my needs in a gentle, and pleasant manner. 
The apartment itself was nice, as seen in the picture,  and clean. Towels, soap and shampoo were provided. Kitchen was pretty big and seemed nice, however, I didn't get to use it. There was no AC, which is often a non-issue in Seattle, but that specific week was really hot. There is a very nice, big, standing fan. 
The apartment is at the back of the building, so the view isn't nice. The price was reasonable to Seattle. One additional thing that I didn't like is that it was not easy to open the building front door. One of the neighbors tried to teach me how, and we spend good 5 minutes trying to do so. I heard this should be fixed soon. 
Also, since the apartment it is located within the University district, I would recommend checking that the back gate is operating. "
15497	7071021	8.0	7.0	39809674	"L'host è stata in generale cortese. Il mio check in è avvenuto abbastanza tardi e, pur dopo qualche perplessità e un po' di attesa, è venuto ad aprirmi un ragazzo. Quindi non ho incontrato l'host al mio arrivo e non ho avuto alcuna descrizione delle peculiarità dell'appartamento. C'è stato qualche intoppo iniziale (tipo una doccia che funzionava male), ma l'host è sempre intervenuta in modo celere.  L'alloggio è in una grande posizione per chi deve raggiungere l'università, e la zona intorno è tranquilla, anche se non è da ""canone italiano"", nel senso che ci sono vari barboni fra le stradine dietro il palazzo e le strade adiacenti, ma, purtroppo, è una cosa molto comune lì; infatti, dalla finestre dell'appartamento, da cui si ha solo uno scorcio sul retro del palazzo pieno di bidoni dell'immondizia, ogni tanto si può vedere qualche povero senza-tetto che cerca rifugio la notte. Il vero neo dell'appartamento è il palazzo in cui è inserito, piuttosto vetusto e non proprio pulito. Non amo molto gli ""odori"", e forse per questo non mi sono trovato al meglio. Quando si arriva, non si ha una grande sensazione di ""sicurezza"", ma forse è solo un'impressione. In generale, è un posto ottimo per la posizione, molto vicino a fermate del bus e a negozi, ma l'appartamento è un po' vecchiotto, e la struttura in cui inserita non è certo bella o confortevole. "
15498	7071021	8.0	7.0	40511529	"This was a superb location one block from University Ave. The unit was clean and exactly as described. The building was extremely quiet given the location. The only downside was the restricted hours to use the garbage dumps, and that was mostly my issue as I was working late and easily remedied by using a garbage can on the street less than 200 ft away. 

All in all a nice little spot in a great location."
15499	7071021	8.0	7.0	40965672	"We were in town to find an apartment my daughter who is attending grad school in the fall.  The location is perfect if you're visiting UW.  Also very convenient for food, shops and transportation.  Photos accurately represent unit and it is quiet (other than the occasional parking lot disturbance, see below).  Building had a lot of work going on while we were there (painting, sanding on stairwell) but it didn't interfere with our plans.  Unit was reasonably clean but very spartan.  Things one would take for granted in a furnished space (clothes hangers, trash cans, pots and pans, can opener) were missing.  We didn't use the TV so can't comment on that but WiFi worked as described.  Bed was comfortable enough and shower had good pressure.

You should be aware, however, that this unit faces a kind of sketchy parking lot.  We heard vomiting every night and had to call 911 when we realized someone had OD'ed right outside our window.  

We never met the host, Melissa.  Keys were waiting for us and we left them when checked out.  Melissa wasn't super responsive to our text inquiries but we were looking for a room, not a tour guide so that was okay with us.

Overall, for the price, this place is a good option if you need nothing more than a safe, inexpensive place to sleep in the University District of Seattle."
15500	7071021	8.0	7.0	45091160	Great location for UW visitors. The unit was clean with all features as described in the post. Note that  the unit is at the back of the building, and view isn't very good. But overall concerning price to quality ratio I think it is very good. 
15515	3706719	9.0	7.0	17646574	.
15516	3706719	9.0	7.0	18155542	Accurate Listing, clean studio. Convenient location, close to shops and the UW.
15517	3706719	9.0	7.0	18595746	Accurate listing and cute studio! Great location. Melissa is extremely easy to work with. 
15518	3706719	9.0	7.0	18908808	A great neighborhood to stay in while in Seattle! 
15519	3706719	9.0	7.0	40094195	"The studio was very clean and just like the pictures. The bed is extremely comfortable. Be aware that it can get very hot in the summer as it has south-west exposure and the sun sets around 10 pm. I spent most evenings in a local cafe to stay cool during this year's 2+ week heatwave. This building in general was very hot during this time. There is a fan that helps just a little. 
Melissa was responsive although with a delay at times due to the busy summer season. She was very accomodating and helpful. "
15520	3706719	9.0	7.0	45041773	I really liked this apartment, very clean and comfortable with all the amenities and a great location (I'd recommend the portage cafe a few blocks away).  I appreciate Melissa being able to accommodate me on such short notice (ie I was sending my booking request just three or four hours before arriving).
21957	5792683	10.0	7.0	38526111	I stayed here for a few weeks prior to a relocation, and I had a great stay.  The place is the lower floor of a very modern, new house so everything looks good and is in great order. It was really nice to have such a large space, and my own bath room, storage closet, and washer+dryer for doing my laundry. Highly recommended!
21958	5792683	10.0	7.0	39209501	This was a nice modern studio in a converted basement of the owners home. The owner provides snacks and toiletries that were much appreciated. Comes with mini fridge, microwave and portable burners. The location was nice by a park and centrally located. The owner responded promptly to our messages and checked in to make sure we needed anything often. I would stay here again and recommend it to others. My wife and I used it as a crash pad as we were out 14 hrs a day during our trip. 
21959	5792683	10.0	7.0	44106876	I had a fabulous time here last time I was in Seattle. Hila and her husband were very helpful and welcoming. The apartment was very cozy with s nice big bed and has a separate entrance to the apartment. To get to the space needle area of Seattle it's either a 10min uber or an hour walk which really wasn't bad because the weather is so mild in Seattle in the summer. There's also a nice park nearby with a playground and plenty of space to jog or bike around. All in all it was a great stay and I would totally stay here again. :) 
21960	5792683	10.0	7.0	45788658	She was a great host! Checked in with me to make sure everything was in order and I was accomodated.
23813	5353512	7.0	7.0	55092224	Anna and her place were great! I booked this for my two good friends who had multiple flight delays, and she was awesome about being flexible to meet up with us. Place was nice and clean and very welcoming. 
23814	5353512	7.0	7.0	56358455	"Nicest things I can say:

1.Anna is a nice girl and friendly.
2.She was prompt to answer all emails and texts in the booking process.
3.The room and home basically looked like the photos.
4.Anna gave us a key so we could come and go
5.When Anna was unable to fulfill the first night, she responsibly took care of the refund from AirBNB.


Room for improvement: 
1.Anna is still new to the AirBNB hosting process and is in a learning curve as to having a system of how clean a rented room and bathroom should be. She’s not up to hotel standards yet.
2.Although the room “looked” as advertised, it was actually a tiny space carefully photographed to look the size of a normal bedroom.
3.The neighborhood: She’s directly across the street from a fenced elementary school playground which made navigating nearly impossible when school let out. Street parking could be unpredictable but we found a spot. 
4.Most of all, she should put on her description that she is in one small apartment in a four-plex and has no control of talking, banging and music from the upstairs neighbors at any hour of the night, directly above your bed.
"
