	home_id	scores_cleanliness	scores_location	review_id	comments
1424	6004058	9.0	9.0	30174940	Great location and super great host.
1425	6004058	9.0	9.0	31233618	"Marina’s Queen Ann studio was just as described; the place was small but clean, cozy, and comfortable.  Marina left a basket with helpful info, maps, and tissues. The apartment is in a great neighborhood close to downtown and Kerry Park with a beautiful view of the city.  

Marina gave us our privacy but was very responsive and helpful whenever we texted.  Overall, a great trip to Seattle!
"
1426	6004058	9.0	9.0	33151436	"The description was accurate - the suite is very similar to a hotel room, but was the perfect size for our visit.

The location worked well, but it would have been nice to be a little closer to coffee shops and amenities. The building is very quiet and relaxed. "
1427	6004058	9.0	9.0	34213590	Very nice place! Cozy with a fantastic location.
1428	6004058	9.0	9.0	34958147	Mariana makes you feel very welcome.  The apartment was very clean and nicely decorated.  Perfect location for my visit to Seattle.  
1429	6004058	9.0	9.0	36408316	This airy studio had all the amenities and the most amazing view from the spacious patio. Walking distance to downtown and offering killer views this property was more than I could have hoped for. Our hostess was more than helpful and left everything a visitor could need, whether staying for one night or more. I cannot recommend this property highly enough!
1430	6004058	9.0	9.0	37981463	This is a great location just a few minutes' walk from Queen Anne and Key Arena. There is free parking. The apartment is a studio, so it's small, but Marina sets it up beautifully and it is clean and comfortable. Marina was great about communicating with us to give us information and helpful directions to the place. 
1431	6004058	9.0	9.0	38954954	Great place! Clean, comfortable bed. Great location!
1432	6004058	9.0	9.0	39966022	The apt is adorable! It's clean and cozy. Perfect stay if you plan on just sleeping there. Checking in and out was a breeze. Looking forward to visiting again!
1433	6004058	9.0	9.0	40596659	Marina made us feel super welcome and was great at communicating! The place was just as described, perfect for one or two people for a short stay, and in a great location! ESPECIALLY perfect for heading over to the port for cruises early in the morning - it was a 10 minute ride! Also walking distance to the space needle. We loved our stay here! 
1434	6004058	9.0	9.0	41822097	"The location was amazing - beautiful views and an easy walk to so many restaurants and attractions.

The place is great as well. Marina really did a fantastic job of keeping the area spacious and light. 

Marina was very accommodating and caring, and made us feel at home."
1435	6004058	9.0	9.0	44059382	"We had an amazing time visiting Seattle for the weekend and couldn't have asked for a better place to stay. This adorable studio apartment was small but so well organized we never felt cramped. The Amazing use of space. The building itself was beautiful and felt so comfortable to come home to.
The apartment has a bus stop across the street which easily takes you downtown. And while you wait you get an amazing view of the Space Needle! It's breathtaking. Or you can walk around the Queen Anne area which is full of adorable shops, cute cafes and amazing restaurants. There's something for everyone. 
In summary, great space, very welcoming host and we would definitely recommend it!!"
1436	6004058	9.0	9.0	44930272	This place was decent and just as described. As stated, it's small but has everything you need for a short stay. My only complaint is that the apartment gets pretty warm, with no air conditioning.
1437	6004058	9.0	9.0	45119937	Cute hotel style studio with everything you need for your stay. Love the historical feel of the place!  Host was very accommodating and check-in was a breeze. Steps away from the bus stop and a short walk to the Seattle center. Overall a good experience! 
1438	6004058	9.0	9.0	46782491	Very clean and conveniently located studio that meets all your basic needs. The host is very easy to communicate with and accommodating with the check in/out process. Would definitely recommend to anyone visiting Seattle. 
1439	6004058	9.0	9.0	48646907	Place was great. Totally quiet at night! Its like we were the only people there and no noise from the street. Studio was small but clean and cozy. Love the old building and the claw foot tub. Location was a little far away from things walking, and up a hill for those biking, but not too bad. We had a communication breakdown right when we were checking in, but it all worked out.
1440	6004058	9.0	9.0	49631934	Location was great and is within walking distance or a short bus ride/car ride to Kerry Park, Space Needle and Pike Place. There is also a great view from the apartment itself. Neighborhood felt very safe and was quiet. Room is cozy and is perfect for one or 2 people. It was also very clean and had everything we needed. Marina was a great host, super friendly and was very fast to respond. Check in/check out was very easy and the flexible hours were convenient for us. Would recommend to anybody needing a place to stay in Seattle!
1441	6004058	9.0	9.0	51017020	"Great neighborhood, but the ""patio"" photo was misleading. There was no table and chair(s) - you have to climb out a window onto a roof that can be accessed by several other windows, so limited privacy.
It would have been helpful to know before booking that there was no coffee maker, toaster, or microwave and that parking can be difficult.
Comfy bed, though."
1442	6004058	9.0	9.0	54228180	The host canceled this reservation 3 days before arrival. This is an automated posting.
1443	6004058	9.0	9.0	58411660	Marina's place was perfect for us - compact, but with everything we needed, in a charmingly converted hotel building. Check-in and out was easy, Marina was a great host!
1772	762029	10.0	9.0	2820649	Maggie and Jean-Marc's Gypsy Wagon is a fun and unique option for adventurous traveler's, and for only $30, a helluva bargain in (email hidden)ggie and Jean-Marc were down-to-Earth and helpful hosts, and their three dogs very sweet.  
1773	762029	10.0	9.0	2870601	"The wondrous world of the Gypsy Wagon! We had a marvelous weekend, full of fun based out of the Gypsy Wagon.  An easy Rapid Transit ride to downtown Seattle, as well as convenient access to the fun Ballard and Queen Anne neighborhoods, the location is also off the beaten path enough to feel unique.  
The Wagon is beautifully crafted. It feels homey, clean, playful & private.  The top bunk slept two people comfortably, with storage for gear under the lower bunk.  
Thanks to the wonderful creators of the Gypsy Wagon for being gracious, open and welcoming hosts! We'll be back when we're in Seattle again hopefully!"
