	home_id	scores_cleanliness	scores_location	review_id	comments
4136	4550099	7.0	9.0	23350930	"Mike and Laura really made our Thanksgiving special as they opened up their home to our family on such short notice over a holiday that could've been a disaster. Their kitchen is wonderful and spacious enough to prepare dinner for 10 or more.  
       They are very gracious and easy to work with I highly recommend their place as it is located in a perfect spot to explore Seattle without even having a car. The view on the deck upstairs is breathtaking.  Located near the bus line as well.
        Highly recommend."
4137	4550099	7.0	9.0	24481439	Mike and Laura were incredibly gracious hosts, having a welcome gift and kind note waiting for us upon our arrival. Their home was very well kept, spacious, and aligned perfectly with their description. It was within walking distance to the great amenities that Ballard has to offer.  Mike and Laura made themselves available via phone/text for any issues we may have had (which we didn't!), but were otherwise respectful of the time our family had together. Their space afforded my family a wonderful holiday experience. Highly recommended. 
4138	4550099	7.0	9.0	33251679	We really enjoyed our stay at Mike and Laura's home. Well-stocked kitchen and comfortable rooms. Ballard is a great location for visiting many areas of Seattle, especially while visiting SPU. 
4176	2769088	6.0	9.0	13382470	"The apartment offers a view of Seattle as a resident and local. It doesn't offer luxury but that's not always what someone is seeking. We found the location to be a little too far from downtown but Wendy gave us all the details we needed to get around so that made things easier. The area is nice and the next door coffee is amazing. You can drive to Ballard easily and the airport isn't a bad drive in the morning before traffic. You're not far from city necessities and Wendy offers advice as you need it. 

There is a big dog that will sometimes hang out in the yard but it's very friendly and sweet. "
4177	2769088	6.0	9.0	14530340	Nice place. A little too expensive. Bathroom was dirty and seemed like the bed sheets were slept in. Great patio view though. The location was perfect for going to pike market.
4178	2769088	6.0	9.0	14638211	We had a lovely stay at Wendy's place. This is a quirky attic apartment with a lot of personality.  It's a cozy, affordable option, clean enough, in a fantastic neighborhood. This listing is what Airbnb is all about. Would definitely stay there again!
4179	2769088	6.0	9.0	16474576	"Needed to find an affordable place to stay in Seattle for a kickball tournament.  This place worked out great for my husband and I and two of our teammates. Communication with Wendy was easy and prompt. Beautiful view of the Olympics!! We all really liked the funky decor and even posed with the manikins for some photos.  Beds were comfortable.  You get what you see in the pics. We thought the location was perfect for us and was  in close proximity to Green Lake park where our games were. We also took some of Wendy's recommendations and checked out some local spots that were in walking distance.  The only cons: Floors looked like they needed a good vacuuming but everything else was pretty clean.  I would have even done it myself but didn't see a vacuum. It was a hot weekend in Seattle so a fan would have been nice, especially for my husband that sleeps super hot. (We normally bring a small fan for him but forgot to bring ours) But we made due and it is was
still not a deal breaker for me. "
4180	2769088	6.0	9.0	17494207	The reservation was canceled 2 days before arrival. This is an automated posting.
4181	2769088	6.0	9.0	18311652	Listing description was accurate. Pictures need to be updated as I think the bathroom was remodeled and no motorized couch :(
4182	2769088	6.0	9.0	18735704	"Wendy was out of town when we arrived, but did provide us with an alternate contact during our stay. Unfortunately, we were quite disappointed with the cleanliness level of the house. The pictures online didn't match the reality. While there were lots of differences, the main ones that caused us to leave were that there were no towels available, the beds weren't made (and looked slept in!), and there was dirt and debris on the floor. We ended up leaving and getting a hotel elsewhere. The next morning when we returned to take pictures (to submit to Airbnb), there were towels left (on the dirty floor!) for us. 
We are currently working with airbnb and wendy to get a refund on our reservation and are hopeful that we can reach a reasonable and fair resolution. "
4183	2769088	6.0	9.0	18880644	"Wendy made the experience super easy. She was on point, communicative, and even though she was out of town during our stay we had no problem navigating the space, access, or house rules.  

The neighborhood, btw, is incredible.  Best coffee shop ever next door and a really cool restaurant/ bar on the same block.  Really no problems getting into town - it helps to get to know the bus schedule.  

All in all a great stay - the place is certainly quaint but turned out to be an ideal spot to explore the city like a local. "
4184	2769088	6.0	9.0	33119259	Nice neighborhood. Everything was accurate according to description. Balcony is a big plus!!
4185	2769088	6.0	9.0	42189680	The host canceled this reservation 10 days before arrival. This is an automated posting.
4186	2769088	6.0	9.0	42189931	The host canceled this reservation 14 days before arrival. This is an automated posting.
4187	2769088	6.0	9.0	42211505	Thank you, Wendy, for sharing your lovely home. Every aspect of our stay was exactly as we'd hoped.
5258	3052151	7.0	9.0	13636607	Rad stay. Wendy is cool, place is great, no complaints. 
5259	3052151	7.0	9.0	14406428	Wendy was so great! Her place is neat, tidy and cozy and is located in a cool area with lots of fun things close by. She was incredibly welcoming and accommodating and full of good advice for activities and places to explore. I highly recommend staying with Wendy. She truly did everything possible to help make my trip easy, convenient and fun. 
5260	3052151	7.0	9.0	14991818	Staying with Wendy Morrison was a very pleasant experience. She was very accommodating and went out of her way to give us advice for our stay in Seattle. The room was on the small side but more than enough. Cute kitchen, even though we didn't have time to use it. The apartment was under renovation but Wendy was kind enough to subsidize our bill in compensation. Great location and great stay!
5261	3052151	7.0	9.0	16120504	Everything was as expected. The location of the house is very good to get fast to the city centre.
5262	3052151	7.0	9.0	16279466	Nice quiet and green suburban neighborhood, but still close to good restaurants and parks. Relaxed, friendly place to stay.
5263	3052151	7.0	9.0	16748824	Nice stay in Ballard at Wendy's place! She was very accommodating with our flight schedules and gave us great tips for finding an apartment in Ballard. The patio is really cute and it's a great location :)
5264	3052151	7.0	9.0	16921006	Place was very nice & cute and in an amazing location. Slate coffee a real bonus! Wendy was pleasant and communicative although we only saw her briefly a few times.
5265	3052151	7.0	9.0	17225565	Nice neighborhood and host.
5266	3052151	7.0	9.0	17542528	Wendy was a great host. Cool location with easy bus access. She also had great recommendations!
5267	3052151	7.0	9.0	17709434	Cute neighborhood. Accurate photos and description of the apartment. Wendy was welcoming and friendly, but did her own thing which was exactly what I was looking for.
5268	3052151	7.0	9.0	26319151	We never met Wendy, as she was out of town for our stay. The neighborhood was nice and within walking distance of Ballard. The only downside was that we were asked to bring our own towels which was fairly inconvenient. 
5269	3052151	7.0	9.0	32031461	Great location and walking distance to many local bars and good food! 
5270	3052151	7.0	9.0	32643155	Great host! Wendy was super sweet and not imposing whatsoever.  Neighborhood was super central and the deck was so great!  My bf and I were very comfortable.  Thanks Wendy!
5271	3052151	7.0	9.0	35444111	The host canceled this reservation 9 days before arrival. This is an automated posting.
5272	3052151	7.0	9.0	35852824	I didn't get to meet Wendy, but her roommate Kerri was there, and she was awesome! The place was overall very cute and they have a really really nice shower. It's next door to slate coffee, which is one of my favorite places in seattle. 10/10!
